POW(20.379451178462922,77.3964080821438)=2.12224620869388e+101
POW(93.89776562543788,97.7330155075862)=6.21651406682427e+192
POW(69.60586949203376,50.54263892352353)=1.3557652936447952e+93
POW(56.96014087051216,7.089180270440802)=2789714015639.8896
POW(75.41150838610935,39.21439627040916)=4.193562346545964e+73
POW(85.3919362212465,65.00877265533231)=3.62276051048454e+125
POW(86.48563946745931,80.31343349587539)=3.652777353135555e+155
POW(52.768659888090895,36.72152828361156)=1.771256207486595e+63
POW(17.72148906992103,12.459224363930447)=3592065521847234.5
POW(1.6136254932127294,13.076261488590813)=521.5345111584357
POW(7.807681313030115,91.72445461297734)=7.346844858514465e+81
POW(81.56013653312584,58.367959620969536)=3.707383040984048e+111
POW(75.2382981729533,14.254477961149812)=5.593167845413389e+26
POW(53.00165982711395,75.43984856231313)=1.2026424376317725e+130
POW(27.148413274326167,96.67665817794567)=4.070261156013017e+138
POW(78.87830473772071,93.50184137279433)=2.338975245762491e+177
POW(77.55372355552535,69.55348041031783)=2.6818914518589123e+131
POW(22.809789484750908,79.67641771331819)=1.622699794748887e+108
POW(72.21658740325935,39.757215870817944)=7.838463183802533e+73
POW(15.32853004861345,54.55763924584072)=4.765507158488094e+64
POW(32.86702770819137,34.52069469464305)=2.2888838837695517e+52
POW(11.445201567350487,75.83330784666175)=1.900717829489276e+80
POW(91.79266428140978,41.18141160970862)=6.779585578349176e+80
POW(57.22284676943607,53.676705812622075)=2.190477672258168e+94
POW(90.18299623913144,22.807709855110154)=3.907652902819686e+44
POW(11.93568008900275,50.22317300378766)=1.209711234415112e+54
POW(69.7089771669686,70.37454378880915)=5.2553551094395404e+129
POW(11.336785294181151,13.698464223278023)=278543139202835.22
POW(8.146120545372286,21.08403385871188)=16088597795925254144
POW(64.9551493126964,88.66370337745873)=5.164559389752287e+160
POW(15.517063264558614,91.9846398687194)=3.4370499404493577e+109
POW(34.965450062109646,6.7422745888729025)=25564589958.678684
POW(21.546652317581138,62.310360146355734)=1.2116460987763748e+83
POW(49.13843106547498,33.021607618847085)=7.13592076243826e+55
POW(4.66716075937702,19.188274347919357)=6886014269883.074
POW(11.955217057242645,73.7234292366584)=2.762050133901782e+79
POW(46.12552143318582,72.30160975233414)=2.0213136538045308e+120
POW(31.106117009555874,74.04861949201778)=3.492775741781326e+110
POW(61.90017459899326,4.331645594858253)=57673221.845061995
POW(48.78501120666125,79.06403729087313)=3.0390623201037377e+133
POW(59.36818786489957,66.4794382893576)=8.032670002730728e+117
POW(77.54509015240801,96.30009941300128)=9.210165591611462e+181
POW(44.749236428146716,15.763723821670117)=1.0532434026092478e+26
POW(97.1817769763727,6.640682695456679)=15809576105715.088
POW(19.903963975156962,74.70126221295175)=1.077521483489417e+97
POW(87.91392010237381,72.84527709093621)=4.124942390794588e+141
POW(88.99054617923332,64.82173297195288)=2.2900657848491408e+126
POW(86.38127798140239,55.54570087597399)=3.6289857299292766e+107
POW(93.70604928563365,73.31282362983929)=3.596270559756998e+144
POW(6.146973628743139,77.44068795701348)=1.1870732135158375e+61
POW(50.15537691674277,29.63910011063581)=2.4881729087224717e+50
POW(78.57469734992868,31.31577965104943)=2.250380411561475e+59
POW(7.80857064430263,70.63566026019153)=1.1152707709473546e+63
POW(69.90396576606392,87.6030817324361)=3.837454392336312e+161
POW(32.987344226865424,93.5295057574898)=1.0239469070554212e+142
POW(49.51934449815274,96.54572501312757)=4.2002023709835937e+163
POW(87.72928086923662,28.559545191289743)=3.1284206418998405e+55
POW(59.334125988850495,52.21775517762788)=3.962623570189182e+92
POW(70.7760236027849,87.52766132984371)=8.245352593472282e+161
POW(88.04731604035265,7.629470233419723)=687311742945063.1
POW(79.09321454539312,60.335386096121546)=3.3493698587296963e+114
POW(98.11716153197695,50.76880896577764)=1.3137725619406698e+101
POW(26.476860497869176,62.807475962747795)=2.3262302231821392e+89
POW(83.79281513849003,68.60038113455391)=8.564819305085097e+131
POW(41.37940756191117,4.27250074744514)=8085595.212715783
POW(11.658173204468525,88.2062394684117)=1.2118966891288398e+94
POW(67.32926897990173,83.6133290970414)=7.281389771837629e+152
POW(41.05056298623498,1.0135472907516727)=43.16932129583389
POW(48.44433019647295,73.69563349424824)=1.5669213787594355e+124
POW(38.904042626429906,42.67953177452311)=7.2482089258488e+67
POW(6.09626144506832,38.4017944275979)=1.4055631515176004e+30
POW(32.014999339556724,93.5252995837348)=6.146626233203946e+140
POW(68.46000447085746,76.09908718777717)=4.7323236997046624e+139
POW(11.057453511511795,18.439278231634)=17548789932742938624
POW(45.84603072252205,57.333333222476426)=1.7699716305457218e+95
POW(19.70892510467402,89.64802462822234)=1.1587107987691438e+116
POW(87.79456644634014,61.74187954887201)=9.847927530077799e+119
POW(1.7205083673619128,35.242579885033024)=201907854.642073
POW(3.9303373543126288,19.52776943566243)=405404575148.3889
POW(7.770506402098795,57.93921781088069)=3.907844295408726e+51
POW(25.878359693932573,74.6568164359714)=3.05744890327043e+105
POW(13.743535095138407,34.93569602120802)=5.757867855093486e+39
POW(61.95704715872825,38.57302747227411)=1.3377169833805928e+69
POW(18.699344643968924,36.82484604644253)=6.836138694349284e+46
POW(28.997442089053465,97.41502625084605)=2.8563246482672346e+142
POW(19.800309088631202,0.2445926505075783)=2.0756610409645386
POW(17.450531979939345,15.835286338652708)=46173828200637202432
POW(85.75641216268355,65.01158564243161)=4.838684719413056e+125
POW(51.47294687125441,29.838102698640323)=1.175630797492262e+51
POW(3.570335378083195,41.096208664251066)=5.178988441483631e+22
POW(27.695736543974835,96.10898131673665)=4.254380348162852e+138
POW(53.224432625935634,60.25557844094217)=1.0181674319981868e+104
POW(16.427486548100678,78.22306446771967)=1.218142521100126e+95
POW(39.308271442232716,32.83607220672075)=2.2729505973778475e+52
POW(32.248935638815354,82.56796706910457)=3.5896216412056996e+124
POW(90.84174434507882,46.503555478749334)=1.1674458964569682e+91
POW(56.61591794903572,99.51640904462981)=2.793509095457591e+174
POW(70.7351407217817,91.274933908433)=6.688560041361368e+168
POW(48.030666559937444,85.18468950053249)=1.7363649080237864e+143
POW(17.36536690255665,44.73256937698326)=2.8460918489552716e+55
POW(74.63306868591138,47.09484972790329)=1.6047894869558035e+88
POW(1.855245327470785,86.10849233500596)=1.2931094489961724e+23
POW(49.236274607903766,11.340764199508945)=15552751897686628352
POW(60.38760135484067,5.4149434810521635)=4402826464.311184
POW(70.73666401012885,26.169779026897732)=2.5397430972360237e+48
POW(69.46229986526097,94.32044211882402)=5.183163424171535e+173
POW(4.938600205070475,32.22920078602905)=2.260988719667437e+22
POW(78.96551407251303,52.64329356172964)=7.715384797766025e+99
POW(94.58193353431331,94.78587804279128)=1.899826524771312e+187
POW(30.368590403358947,91.32745714974077)=2.432608637976318e+135
POW(94.01112474055329,83.53631961511232)=6.794106757500751e+164
POW(70.90821861849047,61.25358299380026)=2.3003623652922336e+113
POW(37.16989427584974,88.66716518494742)=1.676538989386033e+139
POW(46.42134600762902,13.296119628319925)=1.4483659610033448e+22
POW(85.33656296906825,70.41571114372324)=9.599634576893026e+135
POW(93.35092207961556,89.43243992720458)=1.5578097729947796e+176
POW(46.384537526687275,25.47701015881098)=2.845821990102306e+42
POW(35.0402460440799,2.9251827338202343)=32971.68557597839
POW(57.71462612225066,36.1683109076704)=5.043540873862379e+63
POW(16.96334176343527,52.826161914801204)=8.920083615109921e+64
POW(54.4990995509559,17.00542131917471)=3.373122211710993e+29
POW(8.382189748458151,9.244038750010423)=343204044.4608832
POW(86.9501863848183,81.81870369609433)=4.662295976191864e+158
POW(41.26727371713788,12.581108057834008)=211890204019673792512
POW(4.568400530908168,47.87606690132003)=3.8629020990225235e+31
POW(43.184776604091304,79.29416978378333)=4.700979748964903e+129
POW(38.1054422511956,47.8614344825241)=4.65914283601596e+75
POW(26.69778876912971,51.30524045604483)=1.5334085947370742e+73
POW(37.414043158227486,75.5856567088456)=7.922395289359034e+118
POW(41.64886798390675,25.85833770210686)=7.590083174526193e+41
POW(74.40845410143804,44.93559997945128)=1.2661062930784881e+84
POW(8.217919536839593,92.62293264001813)=5.344762692065429e+84
POW(85.82161893685829,89.83250294938586)=5.009928256195257e+173
POW(97.97132718867442,4.6318563973265965)=1669108622.9062607
POW(45.214135318539476,14.942622359929384)=5.421727892183025e+24
POW(32.780200035043876,56.15953708841934)=1.3063087340772901e+85
POW(70.90518345927983,96.0431013094213)=5.557163942610729e+177
POW(69.48829968047633,94.01264884150592)=1.455447144377798e+173
POW(34.32148463516291,86.1935764663546)=2.2695048054248054e+132
POW(50.82597534607681,56.48503074307004)=2.3350943186312515e+96
POW(53.391912019175024,20.25336923966088)=9.70953922700252e+34
POW(80.32974472943556,99.07171409561805)=5.2404524854039096e+188
POW(37.948266757077235,52.02770689023887)=1.4512279259950335e+82
POW(65.16867762735778,49.02976820198738)=8.747968230810682e+88
POW(17.39934618184458,23.407256192953408)=1.090114422868288e+29
POW(41.099654208589975,47.97194065636482)=2.623909321490097e+77
POW(67.61558687304935,96.49573025170918)=3.9057502661148657e+176
POW(48.99912204311722,64.11667499839862)=2.3402045562838894e+108
POW(5.194965536582948,79.38173494190734)=6.370798979484127e+56
POW(78.79287763589375,23.83089889613483)=1.5667115533407597e+45
POW(17.95555608122679,96.03041115484041)=2.7620540201674315e+120
POW(75.9930654650521,83.79860495052066)=4.0386330059750357e+157
POW(31.06671323014577,80.90819092235884)=5.481680737939749e+120
POW(26.423937210932113,71.97671638057271)=2.2423986202173136e+102
POW(27.165819107099576,60.94287481795031)=2.474413399187913e+87
POW(22.46943657992287,88.78446805671638)=1.0009052459023949e+120
POW(36.66429720080565,91.35613929696281)=8.002666425405303e+142
POW(59.76117516594739,71.78732233962731)=3.3448190282112846e+127
POW(21.175017190026622,3.207019495564162)=17862.518150485586
POW(55.37423133514626,18.179647210880027)=4.928549931243466e+31
POW(13.045277923313101,70.9672756155426)=1.4477191858463846e+79
POW(74.36721015099454,98.27237916853593)=8.037320749851333e+183
POW(81.22493593705791,60.04091996576215)=4.5656968594179563e+114
POW(59.673307995945656,37.1662567635539)=9.979290386168917e+65
POW(61.47662466898765,2.324957018476501)=14410.329225712036
POW(28.5157349547145,56.53920029590688)=1.8591649276426073e+82
POW(83.42300985654434,78.32988652135907)=3.119629290984796e+150
POW(80.36914446590954,15.434794569964167)=2.5389998871112045e+29
POW(58.59046077968833,93.80576635566325)=6.7976438121785895e+165
POW(54.9509633048649,0.2765555140051841)=3.0283060643241075
POW(82.65618187037403,30.298432987746676)=1.2315113266589066e+58
POW(39.81048588373517,53.188148718311766)=1.2615481077457055e+85
POW(69.52215800415955,4.587174476460502)=281929635.0133749
POW(13.804233961670917,5.029762845188745)=541990.3656452678
POW(53.29258865889314,14.206546350714671)=3.38822434852701e+24
POW(75.36572416159912,39.515417196114505)=1.5042114104708736e+74
POW(41.18850386989925,48.38547727387494)=1.3542793928180348e+78
POW(14.8165652711922,24.54756555755748)=5.482794317041299e+28
POW(21.47247674125212,87.36290219248615)=2.2755648424355717e+116
POW(85.29766165434596,89.33164215637686)=3.1173411394904974e+172
POW(11.648649410653661,44.44570747440093)=2.46247750283363e+47
POW(36.785016264741984,71.06594521014912)=1.844531688689713e+111
POW(75.93864862378621,70.2477668432544)=1.2540557699048512e+132
POW(63.35487678712416,40.76967317235996)=2.870673451557139e+73
POW(9.913230727197817,97.63760540364582)=1.8538218496719603e+97
POW(4.88934587498598,7.18608738539391)=89746.22625672919
POW(28.939611987532242,83.2348897529383)=4.43796719815943e+121
POW(10.940486130905818,51.752584337525356)=5.92693688069777e+53
POW(71.47064429996935,93.3119520641617)=1.0286669941915088e+173
POW(12.676443371919508,61.54993863089522)=7.752174739801892e+67
POW(14.170318744218036,80.21573721960678)=2.2843622821873234e+92
POW(42.273619986359094,35.37302039714688)=3.303599826160635e+57
POW(25.182631000044264,51.06418677118787)=3.5163196620351605e+71
POW(84.12716798664772,42.50653467809428)=6.64309226002485e+81
POW(7.863977465214333,35.77726269050308)=1.1056773786461304e+32
POW(64.5102158192672,18.38483467310199)=1.860889979049409e+33
POW(71.93485671415753,13.989298561402935)=9.49028899256746e+25
POW(85.89452267965436,85.16603024439307)=5.106951852606859e+164
POW(56.62263358378446,57.90092600729599)=3.160443618907078e+101
POW(8.850409447722093,49.53887844383598)=8.156482896762675e+46
POW(64.67348410372699,25.88669021242315)=7.476695606669035e+46
POW(29.122739663424728,14.588951345218465)=2.299390494105316e+21
POW(33.93993621671835,53.408032856790896)=5.6528120680690375e+81
POW(43.77648259399683,89.33080567666707)=4.1055244055379015e+146
POW(83.686447502572,86.42129886719742)=1.4399712343085283e+166
POW(2.2429442044744943,61.23637071645325)=3.039834189604315e+21
POW(48.84480580210892,83.83753501752777)=3.858075132242051e+141
POW(58.39597722676048,82.69584430695029)=1.1817559826186624e+146
POW(44.34779246261492,23.40902952246703)=3.561848301853123e+38
POW(38.5476194356498,21.18712145859296)=4.006111148709348e+33
POW(25.441360121773606,12.410508542380644)=277632443534021920
POW(32.01927649585238,16.536930895841127)=7.850298737186665e+24
POW(24.753734352239,43.645785575203014)=6.707246901134822e+60
POW(69.44823472438819,20.92618512435236)=3.458943268762712e+38
POW(70.69988161095306,85.65879938869129)=2.624123421952956e+158
POW(97.68455596473828,53.983378493006676)=2.6153213386683962e+107
POW(26.850382297873725,75.95824606378987)=3.4719358048650253e+108
POW(2.1120095633042433,81.76832275614854)=3.546806896818177e+26
POW(28.609781445474358,75.18260349654562)=3.195620223787757e+109
POW(12.070033477034617,78.0530073121508)=2.6952526453111992e+84
POW(91.82347914357747,56.947395276461585)=6.096811462521164e+111
POW(88.29759382862964,46.32825063628207)=1.4203877700054757e+90
POW(47.615746469834335,11.612984055912387)=30457267266365734912
POW(45.95574765706552,79.1755201224732)=4.136386771615928e+131
POW(84.90077842050307,69.0202874407713)=1.3615639945074146e+133
POW(56.62435344143165,35.79894439852197)=5.697260741078864e+62
POW(40.114211218405515,73.714641806119)=1.5365854521098959e+118
POW(84.06582797748521,20.75148419590788)=8.683824320147036e+39
POW(47.36165536607781,11.471909335816994)=16609065161998215168
POW(30.186765980223427,74.20715630934939)=6.501010247783477e+109
POW(32.96052210143447,4.525753280478997)=7414240.990923911
POW(18.914125855645338,81.87355397380743)=3.427914339115421e+104
POW(84.95835575896174,32.493731325223486)=4.865244184895119e+62
POW(73.2411764320793,53.081511723360386)=9.638976676181069e+98
POW(14.829581691211974,66.27211179466799)=4.10379290109174e+77
POW(14.824190648924308,60.47587091758659)=6.538686869550812e+70
POW(11.964533194627537,86.37411982872973)=1.2656028566957847e+93
POW(9.08000066712473,4.807922016967291)=40401.9380759439
POW(63.920869361911656,60.9681760165233)=1.2210692961136631e+110
POW(42.51380361404296,17.853311979117766)=1.1875543091104277e+29
POW(40.45501200755206,82.68879981551741)=7.561599466636828e+132
POW(57.352260216745265,59.557857808413196)=5.4387974105320553e+104
POW(57.68928308290084,35.2090132904151)=1.0148976749642955e+62
POW(73.41473708434073,65.28546622634491)=6.434713440684959e+121
POW(82.75110777763682,92.22882984375556)=7.482297721227941e+176
POW(4.48430311434041,29.880231215807314)=29702712541255213056
POW(66.52873072629612,54.99519485931732)=1.8061269098643124e+100
POW(11.28404261463953,80.43620216416994)=4.5317380362992414e+84
POW(58.88944763742083,52.93358209938815)=4.947938686198515e+93
POW(81.50686002026035,74.08282914066382)=3.8607404526884094e+141
POW(0.6774732980082785,14.314412541986874)=0.0037959539667784545
POW(53.02134016208372,52.36196572920211)=1.9752792100530525e+90
POW(12.584150756586855,34.682650029545826)=1.3957506839052262e+38
POW(12.100487512009156,59.51583180770213)=2.7791587858367e+64
POW(57.147566376079595,38.76403960301019)=1.2833053482385164e+68
POW(95.64054112023982,71.84640879589193)=2.0045485512951063e+142
POW(92.2414401814859,79.88505871436936)=9.294689261531685e+156
POW(31.316691171245044,39.84445901758915)=3.9662522682537444e+59
POW(30.13073977562858,13.760347786063907)=224744542163383123968
POW(2.6653121353967246,4.681162655185655)=98.40020360966331
POW(12.77567832003585,35.94797709345639)=5.919234462409965e+39
POW(54.013057537591045,46.48686371355522)=3.454886977994307e+80
POW(8.017637396159397,18.882729665410068)=117723722128007584
POW(18.96270881308175,34.67836908053243)=2.06776363424212e+44
POW(89.27117788515329,0.4713788617388322)=8.308527386467855
POW(49.02430670143607,24.783662035668186)=7.844880658486605e+41
POW(91.29368553502798,15.030131695987764)=2.9220154204127972e+29
POW(90.1537992121663,70.02483795780563)=7.896599973897265e+136
POW(60.3474445151498,80.253878939133)=8.031238380032441e+142
POW(47.84082794787431,93.45095828287722)=9.523509726905752e+156
POW(99.19824848280967,63.013484843645195)=6.407296126619492e+125
POW(70.24754660577523,22.450601956034266)=2.8706560337905004e+41
POW(6.799254361393838,10.879005514477786)=1138546960.85797
POW(99.49733813436097,64.23488601204845)=2.1339859000837817e+128
POW(85.60173362756923,28.654806647881443)=2.37090478469155e+55
POW(73.5279173848518,12.072982427528466)=3.4170033037974394e+22
POW(25.714668148499285,19.92784272741604)=1.2643394000527814e+28
POW(13.25971034677536,8.192398733390045)=1571254101.5533953
POW(63.63549831634743,43.95132910196928)=1.8835974702754432e+79
POW(48.07981569169274,86.02433468414208)=4.8947479471433066e+144
POW(87.45220141180516,20.314197299955662)=2.7894209114012546e+39
POW(38.89313482168343,52.209852052228726)=1.0163222967946437e+83
POW(56.80655763267486,71.90284771314562)=1.4003809963304088e+126
POW(31.447131011129276,75.7314656508657)=2.594217179652153e+113
POW(28.79579617915549,66.86154157413696)=3.741042842468354e+97
POW(91.66378026033249,84.21316580611851)=1.7493859222984189e+165
POW(77.96802677781257,6.74826190659272)=5849898608655.622
POW(89.02626890862867,27.0770488633667)=6.126307843778091e+52
POW(83.98705390248064,17.25920379924834)=1.6232038193087016e+33
POW(51.91027493985556,32.609367765566006)=8.576826399671256e+55
POW(4.022668808911742,81.1648637023643)=1.162302000235171e+49
POW(87.03632246576194,4.604360033930546)=853256508.887363
POW(36.504860705193614,56.196656825040606)=6.293407904096312e+87
POW(81.6157068365999,18.266623280543723)=8.349314486591691e+34
POW(37.83319203695798,88.62352715919049)=6.865455019175639e+139
POW(59.02139945825653,84.20914456762229)=1.3651967843337125e+149
POW(76.58878979397285,69.85903608729332)=4.226347472464362e+131
POW(23.197836460791613,11.821706408713606)=13864980205062310
POW(23.873484677874206,69.06586937254491)=1.4687696688267186e+95
POW(93.09159520341392,40.098217996771304)=8.90843339500877e+78
POW(2.4695217002287553,80.50240165391715)=4.0390300470457244e+31
POW(27.432606947581604,8.292576573048793)=845161882266.7999
POW(38.76766176257199,30.987466691554804)=1.669740800488387e+49
POW(25.208268122107953,77.94349564771204)=1.7424545484755596e+109
POW(41.73006299659639,44.14737237104229)=3.455947941277289e+71
POW(64.58565679886182,52.36607156804226)=6.161912646114013e+94
POW(44.382625902045625,21.218504707110565)=8.941217532429862e+34
POW(88.2284134154374,80.29855674198654)=1.6964930577965784e+156
POW(87.50010566361753,62.0714393918792)=3.493556045939932e+120
POW(51.552798542003295,56.021826154152734)=8.38489547397531e+95
POW(27.449184761706707,90.4284352310325)=1.2132973243142204e+130
POW(30.213931197350323,55.3916295356654)=9.796949002693448e+81
POW(34.886536543052856,62.86844638570557)=9.649453093969474e+96
POW(62.178674914552566,15.190095558227215)=1.7602940211022173e+27
POW(2.8976245409806074,29.856396522179757)=62360915341081.77
POW(33.829054980019194,80.8955857736124)=5.161780319260625e+123
POW(14.452608828142779,62.22595777750528)=1.5092676754448523e+72
POW(85.98899890620406,56.32639435840391)=9.124167465222193e+108
POW(91.0911659843813,38.27237166155524)=9.858338569134604e+74
POW(60.119835650547536,52.46312471394481)=2.1519486618995023e+93
POW(22.078260520969703,62.268913856439255)=4.866667762139759e+83
POW(94.75094279626035,43.10716330050019)=1.602911098709403e+85
POW(24.942602564008652,43.09859068731935)=1.607760733364268e+60
POW(73.7511405899969,10.287404503054555)=16386739856818864128
POW(8.513159043855925,18.2158861366357)=87584477663039440
POW(14.307350915510073,98.6748323726909)=1.05831082371651e+114
POW(1.3480262126111624,66.30428637056552)=397700092.97497284
POW(13.04503581807642,11.980871119862938)=23120972209938.836
POW(59.330973217345075,97.41885218041406)=5.6369686001017936e+172
POW(46.83157877276453,7.289265602975463)=1503145443890.1462
POW(45.86002038213856,58.382393867251736)=9.965713174129898e+96
POW(59.016090291398996,51.53157274190071)=1.8234413107758165e+91
POW(39.30054575241723,66.75487913432931)=2.7157174764253206e+106
POW(50.87781954270819,99.71611095664018)=1.4736159679600128e+170
POW(70.30595405570216,89.99757452733279)=1.678068606273592e+166
POW(62.4625091771274,52.93966959227364)=1.1468302493145676e+95
POW(64.24234873068131,19.98877418426688)=1.3681507139759353e+36
POW(63.536018397002515,46.0374905596417)=1.0151168116925298e+83
POW(4.979221403969375,27.17554672443877)=8825579452931096576
POW(33.50587880438001,39.04611260611908)=3.5485164391110348e+59
POW(57.65129122742702,19.83157991755428)=8.31046205572937e+34
POW(36.84549217529812,17.05195409412016)=5.127601154800575e+26
POW(76.51112716024628,29.65786078504056)=7.366173519320391e+55
POW(98.71718425843194,17.096312146958127)=1.249571632597589e+34
POW(59.29285986589494,33.33712991475387)=1.278825493970566e+59
POW(24.572078003083956,1.7163324092635064)=243.4784178176476
POW(73.74173459139148,95.6283082161328)=4.03894376298616e+178
POW(36.10815388180873,32.08962207508281)=9.61534620057152e+49
POW(27.25236096492268,31.62282981992282)=2.4634321764784622e+45
POW(54.10782406139718,85.9536889024175)=9.552054117116562e+148
POW(47.101813269844676,34.61848405253413)=8.279924734406767e+57
POW(39.34738376927651,97.92636799001279)=1.5286833415211584e+156
POW(77.67736232438126,45.80639800562709)=3.868840591716492e+86
POW(76.84346713263302,57.14005243518013)=5.5421732131237e+107
POW(35.65553010402115,72.5897131209563)=4.660647184750682e+112
POW(49.35756200033302,1.4984428111129011)=344.66221763179675
POW(91.87377323935495,36.29987499446543)=1.8348812766333973e+71
POW(67.05329017849503,53.219466432331906)=1.5889228695567255e+97
POW(13.12754611988361,60.63556649866464)=6.33422038143152e+67
POW(5.708476561485706,94.1308155186042)=1.628791423025087e+71
POW(66.33563269825005,12.41774282981416)=4.187783329436573e+22
POW(88.64835500287504,46.7816317611398)=1.3038048526864384e+91
POW(89.90297269808708,10.621291720311309)=564422299655237664768
POW(83.08367718008525,24.48184420973765)=9.84656066827724e+46
POW(47.12514649439269,71.54628907786555)=5.188267077555691e+119
POW(52.8580080328549,40.41991113031525)=4.44616018142479e+69
POW(72.21370151085846,1.7045047254991725)=1472.4003167899207
POW(69.4760943614616,6.4813398213572935)=866086160148.5466
POW(68.12458796620457,16.5123038868275)=1.870987668283083e+30
POW(41.8855919239675,89.75902767401732)=3.935015596888617e+145
POW(37.384425874013,45.35716878834526)=2.1517818059936994e+71
POW(28.702785610767485,52.97689937716933)=1.723040735257016e+77
POW(72.611620142138,8.219435435328078)=1978881123958179.5
POW(21.303403491273823,95.39395714726578)=5.3211600075953795e+126
POW(62.5992849502819,31.424418780857817)=2.858566689133746e+56
POW(23.450527910118375,12.316834344551157)=75152406972621408
POW(96.6722246616942,31.137693561099717)=6.572284605408236e+61
POW(36.40394555068924,55.04671754240603)=8.631735142785882e+85
POW(4.318247289940058,7.297728383783221)=43281.43404877764
POW(43.540898790765795,74.28660199983915)=5.599098492686817e+121
POW(18.24256103500062,5.927728056734604)=29879527.52434384
POW(48.29386172198101,64.06494784897612)=7.558732094162394e+107
POW(63.37167159872371,59.34420658949019)=8.551431152286114e+106
POW(78.57769769736906,0.27778266294623644)=3.3610988604942733
POW(22.518402380459033,79.25950564604285)=1.5902286830673373e+107
POW(18.11750468652704,1.6873002089744886)=132.6751732515351
POW(31.75851212198857,63.957668922117804)=1.1362505085884587e+96
POW(98.1285973211263,99.63978621332971)=2.8979231455794327e+198
POW(67.26074755111682,75.21743009920901)=3.0167348783711204e+137
POW(5.688107668684123,18.666392737718198)=123744417815599
POW(66.70144317918152,51.446686441300436)=7.009922791221526e+93
POW(19.801531432960072,45.077133170947526)=2.8278968665061825e+58
POW(45.751046742724164,36.48402766144796)=3.785447977033586e+60
POW(20.09206623101451,20.883337863344444)=1.6274325154271302e+27
POW(9.351396411885741,79.08036051061653)=5.987714087130145e+76
POW(20.621314989407082,53.64353934958207)=3.1958115887001464e+70
POW(68.71821156745652,43.42982096553063)=6.07717115758717e+79
POW(65.63694541329934,40.79362530070007)=1.3429795142096972e+74
POW(22.928838699664734,44.90268340832576)=1.215639814190897e+61
POW(62.446715118727305,11.498793726662976)=442786634529808318464
POW(90.10791167959924,22.394567255645466)=5.971312307629014e+43
POW(31.603656986475727,58.031005111103696)=1.0746454723523036e+87
POW(69.78514380944722,19.14607750048401)=1.9990739761886217e+35
POW(51.0037281782343,31.74819822873839)=1.6341214558421328e+54
POW(29.061544752057994,24.67497158674658)=1.2804046081556227e+36
POW(10.952437029563562,36.315526644181965)=5.628347194703538e+37
POW(8.754493168563252,34.63259617132124)=4.284557797877424e+32
POW(65.59247647685851,10.176356089962397)=3082858238110111232
POW(68.26877300063245,3.3192170411661954)=1225127.37100183
POW(60.4961016920179,98.04291129749559)=4.84998571456119e+174
POW(8.39278450322027,6.596887299234526)=1244240.2116654953
POW(67.71645344049418,6.881454658275427)=3961313016332.7056
POW(94.45807464716847,6.348518545380275)=3466107183015.5977
POW(7.625664726191264,39.11394133178227)=3.231160030004707e+34
POW(66.45055227718157,19.23198132289823)=1.1226876245147404e+35
POW(86.83214129605258,12.997012105255909)=1.5741788345194587e+25
POW(98.4728341037137,27.614992881916933)=1.1102460290633349e+55
POW(72.81149348917785,49.30882196408138)=6.65097425951062e+91
POW(74.63780290314624,11.593255472558333)=5.172379708850861e+21
POW(80.1685153515804,81.61035430585751)=2.434602468766291e+155
POW(7.082243657838666,55.66942151825738)=2.1306896675111986e+47
POW(77.7720780386241,84.48105512336672)=5.480011952104313e+159
POW(83.78827770590391,51.08096938161408)=1.7300768533002332e+98
POW(72.62912285209153,8.943872420227965)=44211733936341776
POW(25.460726226089335,34.324968062291674)=1.804969488656288e+48
POW(56.954998437212666,77.68527656300512)=2.3931881181730313e+136
POW(9.462931121574089,48.33085470400321)=1.4864670198441268e+47
POW(54.856641853744684,1.8526056719648853)=1667.6538639943824
POW(62.266900162194446,51.8546027593156)=1.097733015063858e+93
POW(9.937424493833015,75.08145714131865)=7.52962268699939e+74
POW(3.6740802209042127,4.714810699549618)=461.9221938333662
POW(99.31955340564161,60.29652886774925)=2.595756436209426e+120
POW(51.027142570432446,98.94925862052847)=9.675367918614062e+168
POW(44.38744696407821,2.776825116869641)=37510.54758269645
POW(77.42222575632177,31.288430927475375)=1.2578895114976288e+59
POW(40.31517420121172,67.36520025923402)=1.4213785441027916e+108
POW(74.96564573920242,45.3243878758071)=9.483867476296706e+84
POW(24.449389442749826,3.80939161603207)=194292.72956076017
POW(28.75970509943273,89.86236632019894)=1.2297609437227004e+131
POW(7.868478171391666,3.3254441168306808)=953.3110018525213
POW(94.29864739685408,28.329412672954863)=8.641320158536961e+55
POW(25.048412476617415,38.22408636641223)=2.931537217367113e+53
POW(56.55299702771285,78.8934661857015)=1.8084171547474275e+138
POW(66.41218328450475,36.22215532383757)=1.0133076503655686e+66
POW(11.559577259928291,32.58765649949201)=4.352985397514015e+34
POW(54.33732350526114,35.10230772635134)=8.052902587439121e+60
POW(22.459234608866534,1.9039898257331827)=374.14697542891406
POW(12.981768707336178,75.78426117811803)=2.3614816055360654e+84
POW(55.029548114466984,99.40610390588192)=1.0613570752864644e+173
POW(1.9453199092424176,89.25588749128052)=6.22516690471179e+25
POW(75.90145191159496,83.1591632459198)=2.2909923620285283e+156
POW(74.2383480138545,31.237161898466752)=2.7109345580694076e+58
POW(34.64789876922714,2.2995435714762786)=3471.7953871459035
